text,label
"Double your money in 30 days! Guaranteed returns through crypto investment plan.",fraud
"Invest in the XYZ IPO today, guaranteed firm allotment for all investors!",fraud
"Exclusive WhatsApp stock tip: buy now before SEBI announcement!",fraud
"Download our new trading app, deposit funds and get 50% bonus instantly!",fraud
"Join this scheme and earn 10% daily profit with no risk!",fraud
"Pay via UPI to secure your IPO allotment today.",fraud
"Infosys reports 10% rise in quarterly profits due to strong IT demand.",legit
"Tata Motors launches new EV model with 400km range in India.",legit
"SEBI approves new mutual fund scheme from HDFC AMC.",legit
"RBI maintains repo rate unchanged at 6.5% amid inflation concerns.",legit
"Reliance Jio to invest $2B in expanding 5G network.",legit
"HDFC Bank announces dividend of ₹19 per share for FY24.",legit
"Stock prices surged today due to strong quarterly earnings.",legit
"Fraudulent advisor offering guaranteed returns contacted investors on Telegram.",fraud
"Deepfake video of CEO announcing fake merger spreads on social media.",fraud
